Market Name,Code,Market,CBSA
USA,USA,0,0
"Atlanta, GA",ATL,30397,12060
"Dallas/Fort Worth, TX",DFW,30194,19100
"New York City, NY",NYC,31703,35620
"Chicago, IL",CHI,30977,16980
"Los Angeles, CA",LAX,32575,31080
"Denver, CO",DEN,30325,19740
"Miami, FL",MIA,32467,33100
"Washington, DC",WAS,30852,47900
"San Francisco, CA",SFO,32457,41860
"Charlotte, NC",CLT,31057,16740
"Las Vegas, NV",LAS,32211,29780
"Phoenix, AZ",PHX,30466,38060
"Orlando, FL",MCO,31454,36740
"Houston, TX",IAH,31453,26420
"Seattle, WA",SEA,30559,42660
"Boston, MA",BOS,30721,14460
"Minneapolis, MN",MSP,31650,33460
"Detroit, MI",DET,31295,19820
"Salt Lake City, UT",SLC,34614,41620
"Tampa, FL",TPA,33195,45300
"Philadelphia, PA",PHL,34100,37980
"San Diego, CA",SAN,33570,41740
"Nashville, TN",BNA,30693,34980
"Austin, TX",AUS,30423,12420
"Honolulu, HI",HNL,32134,46520
"Portland, OR",PDX,34057,38900
"St. Louis, MO",STL,31123,41180
"Sacramento, CA",SMF,33192,40900
"Fort Myers, FL",RSW,31714,15980
"New Orleans, LA",MSY,33495,35380
"Raleigh/Durham, NC",RDU,34492,39580
"Cleveland, OH",CLE,30647,17460
"Indianapolis, IN",IND,32337,26900
"San Antonio, TX",SAT,33214,41700
"Pittsburgh, PA",PIT,30198,38300
"Cincinnati, OH",CIN,33105,17140
"Columbus, OH",CMH,31066,18140
"Kahului, HI",OGG,33830,27980
